"table s35: prevalence of domestic abuse, sexual assault and stalking1 in the last year, by type and sex, year ending march 2005 to year ending march 2018 csew",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,unnamed: 9,unnamed: 10,unnamed: 11,unnamed: 12,unnamed: 13,unnamed: 14,unnamed: 15,unnamed: 16,unnamed: 19,unnamed: 20,unnamed: 21,unnamed: 22,unnamed: 23,unnamed: 24,unnamed: 25,unnamed: 26,unnamed: 27,unnamed: 28,unnamed: 29,unnamed: 30,unnamed: 31,unnamed: 32,unnamed: 33,unnamed: 34,age_band
Threats or force6,2.5003947507419393,2.2352879572744477,2.630747690729015,2.5081103894237042,1.4218558817460076,1.321710261184276,1.464510234540961,2.120760705354186,1.3779726817695124,1.5161016211751035,1.4994154788921428,1.4037280719292917,1.249821742596401,1.4357023386824814,1.2383363585061777,*,5.604157963269262,6.108059145189841,5.908326457471899,4.61994991949354,4.45860265683536,4.868333313041686,4.172799708627895,4.520087844773491,3.7442693015367623,3.6065785075636585,3.5866918511309316,3.047741361147224,2.7924847313533046,3.005932987621249,2.650173676762456,*,unknown
Threats6,1.7364637176136661,1.1543279308648682,1.3532051071855153,1.5670774439240542,1.051987877125964,1.0937710435905235,0.7140947556951142,1.1608402144815364,0.5963638193309042,0.6298348367418267,0.8145140861619086,0.813897860813732,0.6163274937568425,0.7588431074904735,0.6411589105491705,,4.183591184719106,4.771790191188417,4.6524044565514995,3.972830448563644,3.3439634222330987,4.078203205535926,3.2815491310360336,3.3998839071292073,3.0077485940514297,2.8144319142497727,2.865624602127769,2.310985947733376,2.171177475195244,2.325797667252986,2.0575218255118104,*,unknown
Force6,1.873290907620836,1.630450671970434,1.9571231982035306,1.8183685436058457,1.0269430640970731,0.9171745451477602,1.1348286524417155,1.4247595864620952,1.0799441511872114,1.1698407122112378,0.9940989188742513,0.9384343698987929,0.9134113982513351,1.2077082634956502,1.0420012978492077,*,3.5634181351962,3.889816990341802,3.4808633995224074,2.9385539302063552,2.851179061413502,2.9104661152586537,2.7919877315824997,2.980770449063458,2.064218169750693,2.031989783834395,1.8551133023785875,1.709937407239519,1.5447026462363063,1.6749602024013903,1.4589723500683283,*,unknown
Family abuse - non-sexual6,2.28710115948727,2.1447096692657093,2.2963941742722858,1.538825348084095,1.8941750959859995,1.6153116006640498,1.7573654977111262,1.7085888777963978,1.7567031893722735,1.7307615051640213,1.4210923377003393,1.8107503137440566,1.4557262808970455,1.7307492653678263,1.53482542137187,,3.771962977892943,3.7655555780747743,3.865181937759148,2.580125868512119,2.84847097344626,2.773128520795045,2.83857077902249,2.6679994057325085,2.7123177537881107,2.1841137394377963,2.166725413271387,1.9086764895543105,1.7520931031195988,1.9106647887362975,1.628082241995897,*,unknown
"Non-physical abuse (emotional, financial)6",1.440465725989701,1.3624010796105839,1.5580179689122464,1.0820411417403228,1.1387327891685035,1.2146149828916686,1.1178258702298876,0.9041648378351858,0.8390561895877386,0.9395072012248143,0.9238418575802828,1.2748151246207104,0.9170207103249858,1.2047538893839598,1.0733581636492646,,2.282936638649019,2.31242377194614,2.3961112007033516,1.5781587900377962,1.7326859875352674,1.825218719957625,1.6464155205434565,1.6721759558962017,1.7221464737589594,1.3582859751536904,1.3672093229909486,1.4075004003082539,1.195682794647462,1.4503686865577519,1.2182015387462384,*,unknown
Threats or force6,1.174424469006642,1.1281883945652011,1.0780292806199772,0.6650245454808756,1.139260153501196,0.6981418992134976,0.9565674361635337,1.0456136809806469,1.0555777595992366,0.9843104165214992,0.6809789696304895,0.871101202872573,0.7570894109176411,0.699439476997115,0.6143922089090437,,2.30738816488124,2.566420928384435,2.5192090684294826,1.6589604256727974,1.906010345166302,1.657884830120982,1.7334117050575804,1.5878296888422694,1.6080105003407508,1.2531193849563032,1.3769055228491274,1.0289666020334727,0.9760089966581068,1.04420538390789,0.8799210277318339,*,unknown
Threats6,1.0141349687537553,0.800905257437511,0.8946184113259474,0.5761832055167184,0.8437411295857239,0.8870383086234275,0.6973591895553057,0.7666347451889596,0.706735441689195,0.5849243368037782,0.4738679618757599,0.7097101644386109,0.5671479091590769,0.42661993887078886,0.37704341547585557,,1.4350419939520416,1.7315433678232686,1.5520544904411815,0.9741349336480252,1.113384180145456,1.1289922736747144,1.249521153784315,1.1239111400088053,1.2023823594016252,0.9888911209714357,1.0309821973788695,0.8739005288607846,0.7955394349844657,0.8438555531453497,0.7202096478314531,,unknown
Force6,0.6212102423236774,0.643549950831067,0.6215668883276838,0.3915359015239533,0.6626232902139287,0.33916536592558566,0.5356691476300898,0.5064077395339489,0.7544154518493791,0.5864201543394345,0.3522383047212559,0.3536351507244802,0.336242277544689,0.441740425006402,0.37308788527869596,,1.7427299593638708,1.8538758264376156,1.8715587383462786,1.3325978325164667,1.5269553376479774,1.1641947975145632,1.2204596561391594,0.9151021444850902,0.8260895235460153,0.6784479668273743,0.778432987951577,0.5280467162250653,0.4600475088933598,0.5903806520533996,0.48569124897761434,*,unknown
Any sexual assault (including attempts)6,1.0009367068088357,0.8842268844997929,0.9828635832148003,0.6160269092383392,0.5386527904298588,0.8136607605785038,0.8034045496075883,0.6014162745795115,0.8108050322408671,0.7123531947264906,0.6943884676421456,0.6795844867985218,0.8358180258744489,1.2051636905979535,1.0043367974792738,,4.190962312249793,5.017764240346177,4.7937951786838475,4.455497883566788,3.7315378054756447,3.3545981739914437,3.819980968213631,4.189778666523314,3.018017242970581,2.229990723518826,2.70676542756478,3.229865030839238,3.079419028781737,4.231519381171258,3.5095406559023528,,unknown
Sexual assault by rape or penetration including attempts,0.1589455802083428,0.09938911569055538,0.06942956135498773,0.14309239017063713,0.06789924403796763,0.0637874859471662,0.15854628255968214,0.04944229348763266,0.15220251943624316,0.047990055245823775,0.09112501128228534,0.14562965320131172,0.04633756645440542,0.06470227854295114,0.05204125140249196,,0.9979313230739773,1.3477414285363811,1.1517852929934107,1.2331254842177914,1.007747798905497,0.8492419520932815,1.2196259008454762,1.2725244952606696,0.99524676159148,0.7052737039066505,0.6775351702560678,0.7159421917137501,0.868450676632067,0.9102622674762196,0.7601457387526636,,unknown
Sexual assault by rape or penetration excluding attempts,0.07317315019933252,0.044329487898120606,0.017432575254097075,0.05732026508145523,0.03225496393289232,0.01847344381469042,0.09670488482926093,0.03319442297939277,0.08088747684654965,0.026324584507216,0.08108655056944365,0.08021850906649716,0.04642486666011008,0.04920942522810108,0.03957828295919101,,0.7310585242543144,1.1129007611348631,0.9322454492686874,0.8769474818340546,0.7435811723810807,0.7326044224322292,1.023982615839205,0.7693784224796764,0.563379775720515,0.4179475638406586,0.37273466211261885,0.4482602653302012,0.5570527652116682,0.6581073616225375,0.5256013988730663,,unknown
- Rape including attempts,0.06585675871622963,0.05679105421320131,0.03917732772268449,0.0663803481194715,0.03755385302329663,0.03541490015411363,0.09776664878695651,0,0.1020130586092857,0.03744706311492896,0.0381773934416909,0.12924468449944262,0.029511754501598843,0.049221473022368546,0.03958280775597384,,0.9379144927406042,1.3963242083901366,1.1922872507351348,1.1982172560030064,0.9481957046471805,1.0164180342016675,1.2898731505145682,1.2023958884264192,0.7659647512194774,0.5015184488413376,0.5170105228960084,0.4455024270933791,0.6512825940306466,0.6754062635741895,0.5457901955450379,,unknown
- Rape excluding attempts,0.039428896445840425,0.030475371108292227,0.007598803827120868,0.029904344588525734,0.02362732960206466,0.008395825154960027,0.06658110833451757,0,0.061063740891075906,0.026371758370834445,0.028919174844468397,0.05838449484763367,0.018711884370915716,0.04929051549743652,0.03963976110936344,,0.6952779761403735,1.0872090499730789,1.0136519540892075,0.7744851066923863,0.8169751313154571,0.842032744814099,1.1108235548519843,0.8980961287053683,0.44706868329650357,0.3014430623914955,0.3187029627588546,0.3209050794403466,0.383305451191603,0.44279306296332,0.35353419873843217,,unknown
- Assault by penetration including attempts,0.06160613068145415,0.012714907934885398,0.009520066103049578,0.04265733929618526,0.010277778980948248,0.016647432251328254,0.010977430969270474,0.04290370353575858,0.11124246779817698,0.03188814761878077,0.062353030490777485,0.11904562821997161,0.046445031260233714,0.04132448355371652,0.03323815632824401,,0.32675120996992946,0.3955812407897313,0.31649241839347114,0.35911882659963984,0.3471281597647793,0.18244141387373364,0.2689315582457019,0.45025162505164396,0.5280029351236808,0.4850523835805176,0.3569793444349411,0.49664228086122214,0.5381653824112316,0.5208010112096527,0.4428766999183623,,unknown
- Assault by penetration excluding attempts,0.03603302915022509,0.005116504326869944,0.009520066103049578,0.022888119605754625,0.0012366771615544103,0.016647432251328254,0.010977430969270474,0.04290370353575858,0.08102003102564131,0.021362572500004867,0.05228087603651171,0.06388381142152248,0.04656991075911801,0.025809738305738385,0.02075558485271628,,0.2957653520892778,0.4698932975726402,0.3251209434312258,0.36834829625925525,0.26614431932377763,0.22602804967040122,0.2594324372241647,0.3096034493231961,0.32469787662325533,0.288094333332557,0.16938565099483135,0.22760552097003503,0.31427759118484927,0.39933903562504586,0.3189991584314988,,unknown
Indecent exposure or unwanted sexual touching,1.1642507993313407,1.0515830206046854,1.2179705540777275,0.7407243398470063,0.6913240502662868,1.02214864516915,0.8525419993938651,0.8019246449108717,0.7889063825956348,0.6741722037520375,0.6232282040002418,0.5897704524117864,0.8018492776244551,1.161578080328206,0.9687651136420857,,3.431964537862358,3.8888497784729434,3.9678185619389694,3.542807610868581,2.9796500560357337,2.750517656315929,2.9241257833519048,3.3450652048261045,2.3453355670110603,1.813297347583786,2.3701036303484897,2.8245726902570256,2.673493973298345,3.8324702509193393,3.1601009610132036,,unknown
Any sexual assault (including attempts) by a partner,0.2474952131163186,0,0.15386813654106674,0.18938432870542823,0.16920566943693638,0.1764962207975835,0.13924353397586794,0.0706078286436345,0.1221795604460265,0.08839592554563092,0.05516159999537294,0.11879519924403563,0.07547836280193476,0.0777006421288399,0.06252603233199322,,0.48282488866132744,0.6255429337042192,0.5487955653666694,0.5107272828684367,0.36394489247892586,0.39801996343907514,0.5624311617348018,0.5303549414807953,0.4338800523292938,0.35827754347373436,0.4719631680398239,0.4994100733694562,0.4231242755473736,0.3619364274196093,0.2890645560904515,,unknown
Sexual assault by rape or penetration (including attempts) by a partner,0.06844725334659031,0,0.026916887877874,0.0524311362372601,0.04371894841548782,0.004226507353992877,0.026399259290766405,0.0429125213149359,0.04933871797422909,0.00505107630473959,0.010183246577815556,0.04859154512332738,0.02970155592356127,0.012507339234943286,0.01006973866077164,,0.2634375632684015,0.27808086248169583,0.31030737217729853,0.25377713904301535,0.22383183969436657,0.20732881337346912,0.39597791623640044,0.34426727980975264,0.3204584650171746,0.24131770299736427,0.26632054598458677,0.2974140031947678,0.2957512443525279,0.2240816531484145,0.17901882623242046,,unknown
Indecent exposure or unwanted sexual touching by a partner,0.221249273355011,0,0.13402805754057034,0.13726788356119726,0.17725377075303064,0.19592974689949025,0.1545054539121381,0,0.12199499891198817,0.08318787501018299,0.04490682969436578,0.06992098175093077,0.05422610554386193,0.06492543269417198,0.05222592359794878,,0.46362972974257516,0.6214529325641317,0.5411480589081344,0.48859941936082596,0.26864573515890555,0.4400372725020354,0.44570616671011865,0.402680877040676,0.24148147274783585,0.21332649351962144,0.3339368703317226,0.37816581310021297,0.2566273183447821,0.2591869910627424,0.2067638761825781,,unknown
Any sexual assault (including attempts) by a family member,0.0065695105797600115,0.027024170187631993,0.005432330456371047,0.007160449205371068,0.008223067494223085,0,0.04644212643550273,0,0.012645234883040129,0.039828531486070726,0.010197997450581347,0.005463577408674629,0.03612048237459033,0.0498536693275291,0.04007002575316223,,0.1286138982885387,0.09293593502128027,0.11086351190906826,0.12960490041298056,0.06406620666643999,0.09951148387779418,0.1539025796736463,0.08490057967611203,0.08061428310204953,0.0727089480579746,0.055700827718932706,0.03627569634841888,0.04358957908189831,0.13415068956326964,0.11351959157746765,,unknown
Sexual assault by rape or penetration (including attempts) by a family member,0,0,0,0.007077184878044589,0.008167881953063354,0,0.04590954670290556,0,0,0.00501953607903222,0.010183952938817336,0.005452236891387407,0.018769994601151363,0.012624044116630553,0.010151755384546894,,0.02746083380841105,0.02346983732037563,0.03167109015615969,0.0067165666342055685,0,0.0257586646006817,0.05827505509182064,0.03157358848261452,0.05259287578090477,0.035810621685541125,0.016698836856079993,0.013400823325689962,0.019466673492425087,0.08724160380670622,0.06968395393355203,,unknown
Indecent exposure or unwanted sexual touching by a family member,0.006536233924493849,0.026905575200905408,0.005415289702161327,0.007120770669882877,0.008190829956792522,0,0,0,0.012618755505513847,0.034752961835763305,0,0,0.02589992410828546,0.03704989542260609,0.029774726016456112,,0.05228597228779967,0.04363256290130421,0.061291704940877656,0.07816050868880801,0.0386940622261531,0.034329551393181244,0.08606835713295152,0.01949536762219052,0.027656401688920074,0.03924089058928313,0.038783596238294325,0.022669392661447307,0.023910956631604235,0.06056331812563083,0.054673886938789336,,unknown
Stalking6,9.242518100644322,6.745091028213884,5.8065075102270445,:,3.710577914608579,3.8601775622416543,4.138705429744524,4.114419511022951,2.555921931280985,2.4958848016560915,2.427618702975388,2.7480717205936838,2.3614066432350067,2.577045849113114,2.3490766393427527,*,7.529072034185495,7.4229108372776205,6.782528438368766,:,4.727775004095152,4.7769699872251286,4.574586750634098,4.806810856694489,4.706262488959113,4.422371835051212,4.890959047630737,4.599852603507714,4.90826980606815,5.443096792905003,4.603620998499824,*,unknown
Stalking by a partner,1.0866792872566846,1.0334385823900671,0.8602606868168333,:,0.6752726191548747,0.8085447581882417,1.2447263094080039,0.8456776049258884,0.4445186203591341,0.45678310718478105,0.4118059508546094,0.4610525161279594,0.5327046431888435,0.47921160587550976,0.43113530234127595,,1.1804055592919838,1.4255795917877676,1.3627513533462998,:,1.0378400441767994,1.0693103843225473,1.2691460193565305,1.0941469207189733,1.144135191856587,1.5857925160993764,1.5551206345972843,1.2848466556626308,1.32279797910538,1.397029167907923,1.1306206822977312,,unknown
Stalking by a family member,0.26526101656202794,0.35141750017043,0.4698317749853901,:,0.1828026040627334,0.3068590601982465,0.3192236001534351,0.34994952768766185,0.191122959074211,0.1908879437752055,0.21871419854689145,0.2313609952134809,0.20051864729372776,0.35135467737467935,0.2881335832891766,,0.46195903175329955,0.6630794160738592,0.46300156188971264,:,0.43448476771642147,0.4595620125199489,0.5320464899704966,0.7685388231703523,0.6856950657341614,0.4860842630154533,0.5440069755339062,0.49795775077031185,0.4519342971360979,0.6273469547223087,0.5362661560734305,,unknown
Unweighted base - number of adults2,10228,11028,11008,11104,11890,9896,4969,5072,4284,9466,8524,8950,9495,4647,6387,,12400,13282,12754,12991,13786,11734,5929,5830,5184,11178,10363,10819,11083,5399,7164,,unknown
"Source: Crime Survey for England and Wales, Office for National Statistics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown
"1.Chapter 5 provides the User Guide for definitions of domestic abuse, sexual assault and stalking.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown
2. The bases given are for any domestic abuse except for year ending March 2008 which is for partner abuse (non-sexual); the bases for the other measures presented will be similar.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown
"3. The sample size is lower for the years March 2011 to March 2013 than for other years due to use of a split-sample experiment in these years. The metholodological note titled ""Split sample for intimate personal violence 2013-14"" provides further information.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown
4. The sample size is lower for year ending March 2018 due to use of a split-sample experiment. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown
"5. From April 2017, the upper age limit for the self-completion module has been increased to ask all respondents aged 16 to 74. To make comparisons over time figures for both 16 to 59 year olds and 16 to 74 year olds are presented. Significance testing is calculated for 16 to 59 year olds only.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown
6. New questions were introduced into the survey from the year ending March 2011 and were further revised in year ending March 2013. Estimates from the year ending March 2013 onwards are calculated using these new questions. Estimates for earlier years are calculated from the original questions with an adjustment applied to make them comparable to the new questions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown
:   Denotes 'not applicable'.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown
