"table s21: awareness and use of the 101 non-emergency police number, people aged 16 and over, by personal characteristics, year ending march 2023",unnamed: 1,unnamed: 2,unnamed: 3,age_band
Respondent's employment status,Economically inactive,5.883321947958494,13278,unknown
Respondent's employment status,Economically inactive: student,3.307854322633968,584,unknown
Respondent's employment status,Economically inactive: looking after home/family,7.277846126832105,1026,unknown
Respondent's employment status,Economically inactive: long-term sick/disabled,12.13313190407376,1472,unknown
Respondent's employment status,Economically inactive: retired,4.90686611851119,9679,unknown
Respondent's employment status,Economically inactive: other inactive,8.016023170805287,517,unknown
Respondent's occupation,Managerial and professional occupations,10.318935789227883,11916,unknown
Respondent's occupation,Intermediate occupations,9.130332851446303,7066,unknown
Respondent's occupation,Routine and manual occupations,7.87113511290794,9199,unknown
Respondent's occupation,Never worked and long-term unemployed,4.559776012795252,1487,unknown
Respondent's occupation,Full-time students,3.773166656467625,932,unknown
Respondent's occupation,Not classified,6.297041168809281,529,unknown
Respondent's highest qualification,Degree or diploma,9.983693495885689,13940,unknown
Respondent's highest qualification,Apprenticeship or A/AS level,9.270823979880142,4878,unknown
Respondent's highest qualification,O level/GCSE,8.019596886068683,5015,unknown
Respondent's highest qualification,Other,7.141899696627808,1473,unknown
Respondent's highest qualification,,5.195001225745875,5644,unknown
Disability [note 3],Disabled,11.433666520967712,6772,unknown
Disability [note 3],Not disabled,7.950988735558203,24244,unknown
Religion,No religion,9.949007902653857,12527,unknown
Religion,Christian,8.263840652359287,16005,unknown
Religion,Buddhist,3.9838722702503584,156,unknown
Religion,Hindu,3.8105167002159837,547,unknown
Religion,Jewish,6.9776657416006485,117,unknown
Religion,Muslim,4.5964747711404605,1243,unknown
Religion,Sikh,3.3660292046263236,194,unknown
Religion,Other,17.49656251813328,185,unknown
Sexual orientation [note 4],Heterosexual/straight,8.821866421234471,25902,unknown
Sexual orientation [note 4],Gay/Lesbian,12.957622615509662,435,unknown
Sexual orientation [note 4],Bisexual,10.653091109998647,525,unknown
Sexual orientation [note 4],Other,10.03183658069171,129,unknown
Gender identity [note 5],Gender identity the same as sex registered at birth,9.034980104164436,25484,unknown
Gender identity [note 5],Gender identity different from sex registered at birth,14.770216000602666,133,unknown
Overall level of perceived ASB [note 6],High,13.566050477549418,542,unknown
Overall level of perceived ASB [note 6],Not high,7.6282380917562165,7336,unknown
Experience of crime in the previous 12 months (including fraud & computer misuse),Victim,18.389137484266662,4642,unknown
Experience of crime in the previous 12 months (including fraud & computer misuse),Not a victim,6.740879042130028,26491,unknown
Hours out of home on an average weekday,Less than 3 hours,7.174235323006961,13704,unknown
Hours out of home on an average weekday,3 hours or more but less than 7 hours,7.836248021573831,8215,unknown
Hours out of home on an average weekday,7 hours or longer,10.90707162664232,9087,unknown
Number of evening visits to pub/bar in the last month,,7.539772438266555,17866,unknown
Number of evening visits to pub/bar in the last month,Less than once a week ,10.071429401896468,9031,unknown
Number of evening visits to pub/bar in the last month,Once a week or more often,9.736337951305996,4213,unknown
Number of visits to a nightclub/disco in the last month [note 7],,10.130266691745529,12076,unknown
Number of visits to a nightclub/disco in the last month [note 7],1-3 times a month,8.83810224152288,1020,unknown
Number of visits to a nightclub/disco in the last month [note 7],4+ times a month,8.166660686965743,147,unknown
