"table s24: awareness of police and crime commissioners, people aged 16 and over, by personal characteristics",unnamed: 1,unnamed: 2,unnamed: 3,age_band
Ethnic group,   Arab,[u],31,unknown
Ethnic group,   Any other ethnic group,29.738176962397176,58,unknown
Country of Birth,Born in the UK,62.57151344641615,12049,unknown
Country of Birth,Not born in the UK,33.412425164663375,1732,unknown
Marital status,Married/civil partnered,66.54063075287795,6285,unknown
Marital status,Cohabiting,54.82206126192409,1314,unknown
Marital status,Single,41.694790962811965,3121,unknown
Marital status,Separated,60.53157766418664,344,unknown
Marital status,Divorced/legally dissolved partnership,65.79978920838707,1218,unknown
Marital status,Widowed,61.19583977033317,1436,unknown
Respondent's employment status,Employed,58.34992157599698,7626,unknown
Respondent's employment status,Unemployed,43.965850061456926,140,unknown
,Economically inactive,59.06792858532397,6003,unknown
Respondent's employment status,Economically inactive: student,19.52661035935713,240,unknown
Respondent's employment status,Economically inactive: looking after home/family,34.49957864386817,424,unknown
Respondent's employment status,Economically inactive: long-term sick/disabled,48.9868076577285,637,unknown
Respondent's employment status,Economically inactive: retired,71.6295391751754,4500,unknown
Respondent's employment status,Economically inactive: other inactive,48.67840429967515,202,unknown
Respondent's occupation,Managerial and professional occupations,71.65306182437217,5315,unknown
Respondent's occupation,Intermediate occupations,60.86032772952069,3116,unknown
Respondent's occupation,Routine and manual occupations,50.31834321036709,4190,unknown
Respondent's occupation,Never worked and long-term unemployed,37.491323052752726,592,unknown
Respondent's occupation,Full-time students,24.749846918415262,402,unknown
Respondent's occupation,Not classified,54.83301650747199,180,unknown
Respondent's highest qualification,Degree or diploma,68.17034909488306,5995,unknown
Respondent's highest qualification,Apprenticeship or A/AS level,57.274529403332764,2291,unknown
Respondent's highest qualification,O level/GCSE,52.639854873062696,2362,unknown
Respondent's highest qualification,Other,53.60477017289724,638,unknown
Respondent's highest qualification,,41.083986774918316,2447,unknown
Disability [note 4],Disabled,60.33981837550105,3072,unknown
Disability [note 4],Not disabled,57.939020759737225,10669,unknown
Religion,No religion,57.648306208471986,5782,unknown
Religion,Christian,62.53907881213504,7207,unknown
Religion,Buddhist,[u],47,unknown
Religion,Hindu,35.65994021647015,165,unknown
Religion,Jewish,[u],31,unknown
Religion,Muslim,25.654859128172248,367,unknown
Religion,Sikh,43.59544097695442,59,unknown
Religion,Other,68.5453303415328,89,unknown
Sexual orientation [note 5],Heterosexual/straight,60.30294243548996,11459,unknown
Sexual orientation [note 5],Gay/Lesbian,54.42115561458082,191,unknown
Sexual orientation [note 5],Bisexual,50.717834418137976,253,unknown
Sexual orientation [note 5],Other,57.09438344119492,56,unknown
Gender identity [note 6],Gender identity the same as sex registered at birth,60.25878090335335,11259,unknown
Gender identity [note 6],Gender identity different from sex registered at birth,45.62328695049717,62,unknown
Overall level of perceived ASB [note 7],High,45.63577874188487,443,unknown
Overall level of perceived ASB [note 7],Not high,58.17987145072203,6325,unknown
Confidence in police and local council dealing with issues,Agree,57.43875487569453,6687,unknown
Confidence in police and local council dealing with issues,No opinion,58.19110258717991,3893,unknown
Confidence in police and local council dealing with issues,Disagree,61.9938322684453,2728,unknown
Experience of crime in the previous 12 months (including fraud & computer misuse),Victim,59.93868137178825,2009,unknown
Experience of crime in the previous 12 months (including fraud & computer misuse),Not a victim,58.10092298114532,11788,unknown
Hours out of home on an average weekday,Less than 3 hours,60.52628820546211,6093,unknown
Hours out of home on an average weekday,3 hours or more but less than 7 hours,59.53968737106254,3647,unknown
Hours out of home on an average weekday,7 hours or longer,54.836675800332266,4000,unknown
Number of evening visits to pub/bar in the last month ,,54.898288278765605,7766,unknown
Number of evening visits to pub/bar in the last month ,Less than once a week ,63.446330807841434,4162,unknown
Number of evening visits to pub/bar in the last month ,Once a week or more often,60.45049502562539,1855,unknown
Number of visits to a nightclub/disco in the last month [note 8],,65.34535026128061,5526,unknown
Number of visits to a nightclub/disco in the last month [note 8],1-3 times a month,41.96153957670967,425,unknown
Number of visits to a nightclub/disco in the last month [note 8],4+ times a month,31.791311934070215,66,unknown
