"table s40: prevalence of domestic abuse, sexual assault and stalking among people aged 16 and over, by type [note 1, 2, 3, 4]",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,age_band
Indecent exposure or unwanted sexual touching,5.82246674186294,25.4073698361524,15.7708356266539,0.8499452807519,2.88546820955899,1.88384189267844,unknown
- Indecent exposure,1.63137759074549,11.5818480137246,6.67499063991293,0.219431722209066,0.848802124769729,0.538239769499666,unknown
- Unwanted sexual touching,4.99891139728118,20.9747392416713,13.0849448814299,0.70594644746892,2.30115148151496,1.51296475672958,unknown
Any sexual assault (including attempts) by a partner,1.00065662618259,7.94119519921654,4.50940918762445,0.109195728204425,0.40153898514772,0.25685825883771,unknown
Sexual assault by rape or penetration (including attempts) by a partner,0.210171004712394,4.80761403803718,2.53364238031166,0.0523606209934052,0.229941333030521,0.142105428416107,unknown
Indecent exposure or unwanted sexual touching by a partner,0.935679673733742,7.01161601218519,4.01232761069402,0.0565007107417723,0.314798258821452,0.187299534805715,unknown
- Indecent exposure by a partner,0.170085809539341,0.916989542956949,0.548530825270908,[c],[c],[c],unknown
- Unwanted sexual touching by a partner,0.853427419936021,6.85589490022383,3.88753628465237,0.0569125457987775,0.313297483762615,0.186619644141805,unknown
Any sexual assault (including attempts) by a family member,0.168626295245279,2.41093833997538,1.30588078503349,[c],0.0509243516679218,0.0317478732007876,unknown
Sexual assault by rape or penetration (including attempts) by a family member,[c],0.725031978683735,0.392664304249021,[c],[c],0.0159238699616377,unknown
Indecent exposure or unwanted sexual touching by a family member,0.167717543129278,2.04746387661747,1.12303632720261,[c],0.0383917030636713,0.0195124548912405,unknown
- Indecent exposure by a family member,0.0907348462468801,0.674972791109318,0.386751443043405,[c],[c],[c],unknown
- Unwanted sexual touching by a family member,0.113496424320354,1.6448164771707,0.888109007252702,[c],0.0285415604389073,0.0144387578066427,unknown
Stalking,8.66867702779111,20.5882671592059,14.7228299393562,2.40111133904604,4.41488699538957,3.42398762211794,unknown
Stalking by a partner,2.28609897529518,7.98209090009453,5.17006566690715,0.343175256251312,0.599482229880559,0.472954538924901,unknown
Stalking by a family member,1.29287620780178,2.74231171997151,2.02941788214529,0.143517657995308,0.41750933749796,0.282780408441036,unknown
Unweighted base - number of people aged 16 and over [note 5],7931,8856,16787,7905,8781,16686,unknown
