"table s5: perceptions of the local police, by personal characteristics of people 16 years and over saying they 'strongly agree' or 'tend to agree', year ending march 2023",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,unnamed: 9,age_band
Gender identity [note 5],Gender identity different from sex registered at birth,57.222526043923125,77.83089286824658,61.05723329606448,52.75058299362713,48.411040470232514,67.9020631148747,60.68042752439327,131,unknown
Experience of crime in last 12 months (including fraud and computer misuse),Victim,46.81465898314883,78.31075085821162,54.7440102822646,54.47020371979334,40.12051749853062,65.67678374732829,60.769140965360215,4602,unknown
Experience of crime in last 12 months (including fraud and computer misuse),Not a victim,53.76138784659245,81.14976255702344,59.674075540326875,59.04393206233177,48.73625576887066,72.36408260429769,68.99467919264498,26269,unknown
Overall level of perceived ASB [note 6],High,40.28057891355187,70.05386131448881,51.35233553616315,47.141001069337854,32.02246762277432,53.24480149341788,47.568763544465256,541,unknown
Overall level of perceived ASB [note 6],Not high,55.10298275906018,81.8826464746439,59.163577580398375,60.40802726694755,49.77242582490259,73.43518087623258,70.7908562269553,7285,unknown
Number of hours away from home on weekday,Less than 3 hours,51.94489655527629,80.87444924578378,58.800668826317015,58.77084685200564,48.236107316108146,71.81745858394787,68.1300412575275,13564,unknown
Number of hours away from home on weekday,3 hours or more but less than 7 hours,51.733174677811355,80.85067690311608,57.83246436989372,58.50712456658357,46.0434817795037,70.4812649886226,67.03590992698038,8152,unknown
Number of hours away from home on weekday,7 hours or longer,54.18896133020878,80.32426977924257,59.80853499311857,57.62723912655857,47.404500931729444,71.27386263669833,67.66166996385168,9030,unknown
Visits to pub/wine bar in the evening last month ,,54.76173636953082,79.78932473685659,60.15445734673567,58.845838161907146,50.126470076185505,70.75886851496031,67.39176623671821,17695,unknown
Visits to pub/wine bar in the evening last month ,Less than once a week,50.75623364674106,82.08660243634795,58.27122199166599,58.207138308435106,44.656398504502526,72.74940313957211,68.87511456762797,8970,unknown
Visits to pub/wine bar in the evening last month ,Once a week or more often,48.48838983006044,81.27949046146308,55.34243348895822,56.453388382744286,42.29023149947218,70.30423280278507,66.23791542405145,4183,unknown
Visits to nightclub/disco last month [note 7],,49.68408429368717,82.54760053349747,57.87176704721113,57.91471834717454,43.92159258909726,72.83389590084025,68.71010499724204,11988,unknown
Visits to nightclub/disco last month [note 7],1-3 times,52.95674610681971,77.31804629494543,54.303586960561766,55.878461239827324,44.41551491432819,67.0669613944312,63.769865610016,1019,unknown
Visits to nightclub/disco last month [note 7],4+ times,50.19698057093659,71.79794650469442,47.16473122132539,53.951439334225334,39.22775164788852,56.7787072292008,58.02864791020112,145,unknown
