"table s11: visibility of police foot patrols, people aged 16 and over, by personal characteristics, year ending march 2023",unnamed: 1,unnamed: 2,unnamed: 3,age_band
Highest qualification,Degree or diploma,14.948193731605002,3539,unknown
Highest qualification,Apprenticeship or A/AS level,14.390751818040313,1251,unknown
Highest qualification,O level/GCSE,11.444603914923144,1319,unknown
Highest qualification,Other,11.269127007899428,378,unknown
Highest qualification,,14.518854611882617,1451,unknown
Disability [note 5],Disabled,11.17965429830748,1713,unknown
Disability [note 5],Not disabled,14.713803240736567,6230,unknown
Religion,No religion,14.637763966270532,3169,unknown
Religion,Christian,11.597884967361383,4148,unknown
Religion,Buddhist,[u],31,unknown
Religion,Hindu,26.050489605999736,160,unknown
Religion,Jewish,[u],26,unknown
Religion,Muslim,21.974330596279255,311,unknown
Religion,Sikh,[u],48,unknown
Religion,Other,5.5401498305754355,51,unknown
Sexual orientation [note 6],Heterosexual or straight,13.948888178893121,6641,unknown
Sexual orientation [note 6],Gay or lesbian,19.472747067951822,118,unknown
Sexual orientation [note 6],Bisexual,23.59099989942406,133,unknown
Sexual orientation [note 6],Other,[u],31,unknown
Gender identity [note 7],Gender identity the same as sex registered at birth,14.511695513705789,6509,unknown
Gender identity [note 7],Gender identity different from sex registered at birth,[u],33,unknown
Overall level of perceived anti social behaviour,High,22.127904190769584,522,unknown
Overall level of perceived anti social behaviour,Not high,13.320608164886238,7161,unknown
Experience of crime in last 12 months (including fraud and computer misuse),Victim,17.920373048325892,1124,unknown
Experience of crime in last 12 months (including fraud and computer misuse),Not a victim,13.356559095862425,6855,unknown
Hours out of home on an average weekday,Less than 3 hours,12.060470834257764,3536,unknown
Hours out of home on an average weekday,3 hours or more but less than 7 hours,16.46149200703639,2159,unknown
Hours out of home on an average weekday,7 hours or longer,14.380118056083308,2247,unknown
Number of evening visits to pub/bar in the last month,,14.040558195332459,4569,unknown
Number of evening visits to pub/bar in the last month,Less than once a week ,13.097147102079152,2329,unknown
Number of evening visits to pub/bar in the last month,Once a week or more often,16.316024919384883,1073,unknown
Number of visits to a nightclub/disco in the last month [note 8],,13.048608434425866,3096,unknown
Number of visits to a nightclub/disco in the last month [note 8],1-3 times a month,21.45789456436258,266,unknown
Number of visits to a nightclub/disco in the last month [note 8],4+ times a month,[u],40,unknown
