"table s27: perceptions of changing crime levels, people aged 16 and over, by personal characteristics",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,age_band
Ethnic group,Asian/Asian British,72.0623687517267,51.962474882676304,1009,unknown
Ethnic group,   Indian,69.8468281413275,48.955956446641316,407,unknown
Ethnic group,   Pakistani,74.5687221948666,60.43102302517126,255,unknown
Ethnic group,   Bangladeshi,78.39036796395592,59.396598654338575,77,unknown
Ethnic group,   Chinese,71.88672534620821,45.97590587144564,82,unknown
Ethnic group,   Any other Asian background,69.64039602944864,52.9979418616844,188,unknown
Ethnic group,Black/African/Caribbean/Black British,62.92633991920922,40.04053523978888,476,unknown
Ethnic group,   African,63.14238880059916,40.29992324803247,309,unknown
Ethnic group,   Caribbean,61.50983333738138,37.747378783162986,140,unknown
Ethnic group,   Any other Black/African/Caribbean background,[u],[u],27,unknown
Ethnic group,Other ethnic group,63.69447407076599,43.96003805298981,173,unknown
Ethnic group,   Arab,54.66665050303454,34.664082281484795,60,unknown
Ethnic group,   Any other ethnic group,69.5337666359629,49.596882105490685,113,unknown
Country of Birth,Born in the UK,75.93901500872376,49.51618418584472,12744,unknown
Country of Birth,Not born in the UK,63.786403512152404,45.778763720410986,2374,unknown
Marital status,Married/civil partnered,74.60078278923851,49.830570515487004,6838,unknown
Marital status,Cohabiting,73.39132731508438,52.26146651856093,1457,unknown
Marital status,Single,69.11737662407698,47.264236096631194,3628,unknown
Marital status,Separated,75.58123258888982,53.93349603149563,372,unknown
Marital status,Divorced/legally dissolved partnership,78.35981582308229,49.13098268029668,1289,unknown
Marital status,Widowed,81.48007895368463,40.87114137949241,1478,unknown
Respondent's employment status,Employed,71.65828849213015,50.96740734270347,8534,unknown
Respondent's employment status,Unemployed,72.6113545797275,49.13616540683893,173,unknown
Respondent's employment status,Economically inactive,77.12226758272301,45.810878527887205,6427,unknown
Respondent's employment status,Economically inactive: student,62.85742745919579,39.47606826211155,281,unknown
Respondent's employment status,Economically inactive: looking after family/home,69.48538835252907,54.29201771882285,467,unknown
Respondent's employment status,Economically inactive: long-term/temp sick/ill,80.57006581390262,53.88261788471866,743,unknown
Respondent's employment status,Economically inactive: retired,80.4528451986799,44.1911544447308,4699,unknown
Respondent's employment status,Economically inactive: other,75.97777181114128,49.144041238191335,237,unknown
Respondent's occupation,Managerial and professional occupations,70.47218598987577,49.606928820540595,5790,unknown
Respondent's occupation,Intermediate occupations,76.33896742105442,49.98976912928449,3391,unknown
Respondent's occupation,Routine and manual occupations,78.02156671711059,48.766118468940775,4533,unknown
Respondent's occupation,Never worked and long-term unemployed,71.45711149166513,50.449030519245454,731,unknown
Respondent's occupation,Full-time students,66.15534202689615,38.61856594006414,463,unknown
Respondent's occupation,Not classified,71.42556967507066,55.379561465868875,262,unknown
Respondent's highest qualification,Degree or diploma,69.22143122539248,47.93554906931666,6810,unknown
Respondent's highest qualification,Apprenticeship or A/AS level,76.47411215682224,50.475831251909895,2425,unknown
Respondent's highest qualification,O level/GCSE,81.23057869707455,52.95086586653781,2435,unknown
Respondent's highest qualification,Other,81.58750692262664,50.51998076109137,689,unknown
Respondent's highest qualification,,73.42553256935716,45.41190311457442,2718,unknown
Disability [note 3],Disabled,80.31469065759423,51.539835646430596,3289,unknown
Disability [note 3],Not disabled,72.14335503663057,48.37137318487818,11824,unknown
Religion,No religion,70.25256546601578,46.67916388924725,6153,unknown
Religion,Christian,77.30883502242565,50.457586049751924,7792,unknown
Religion,Buddhist,74.93449515154703,53.77682196758222,77,unknown
Religion,Hindu,68.28421235459999,46.325467192565675,234,unknown
Religion,Jewish,67.85785445542331,51.05543150911138,56,unknown
Religion,Muslim,72.33431532420349,52.850110134512974,608,unknown
Religion,Sikh,73.68128728168297,45.86795294961923,81,unknown
Religion,Other,75.37420181462797,56.882882961377945,80,unknown
Sexual orientation [note 4],Heterosexual/straight,73.76702758078076,48.80428609792513,12705,unknown
Sexual orientation [note 4],Gay/Lesbian,73.32179526544941,55.414303150867404,221,unknown
Sexual orientation [note 4],Bisexual,65.59911145526893,49.56601213133405,253,unknown
Sexual orientation [note 4],Other,69.00238515079745,58.96142930119237,62,unknown
Gender identity [note 5],Gender identity the same as sex registered at birth,73.70965407134145,49.12632349276095,12540,unknown
Gender identity [note 5],Gender identity different from sex registered at birth,60.71552985944108,41.912159384271206,73,unknown
Experience of crime in the previous 12 months (including fraud & computer misuse),Victim,77.94939968662501,61.863240570171264,2313,unknown
Experience of crime in the previous 12 months (including fraud & computer misuse),Not a victim,72.80261240245696,46.47318043304336,12860,unknown
Hours out of home on an average weekday,Less than 3 hours,73.54731985941247,45.86028606573277,6642,unknown
Hours out of home on an average weekday,3 hours or more but less than 7 hours,73.58228504528643,50.59343920690398,3988,unknown
Hours out of home on an average weekday,7 hours or longer,73.64703791382343,51.3321885104164,4493,unknown
Number of evening visits to pub/bar in the last month,,74.64141642471212,48.110899402519586,8685,unknown
Number of evening visits to pub/bar in the last month,Less than once a week ,73.03096604812619,51.276955789013115,4433,unknown
Number of evening visits to pub/bar in the last month,Once a week or more often,71.14997356056686,47.35354696769406,2045,unknown
Number of visits to a nightclub/disco in the last month [note 6],,72.97460349489309,50.52104968089214,5919,unknown
Number of visits to a nightclub/disco in the last month [note 6],1-3 times a month,68.23767517004752,45.59398819878935,489,unknown
Number of visits to a nightclub/disco in the last month [note 6],4+ times a month,68.51809109368286,43.73000828642362,70,unknown
