"table s33: high levels of perceived anti-social behaviour in local area, people aged 16 and over, by personal characteristics",unnamed: 1,unnamed: 2,unnamed: 3,age_band
Respondent's employment status,Economically inactive: looking after family/home,15.862562408579453,270,unknown
Respondent's employment status,Economically inactive: long-term/temp sick/ill,15.907795272575223,366,unknown
Respondent's employment status,Economically inactive: retired,3.4917764540354814,2414,unknown
Respondent's employment status,Economically inactive: other,21.354933148978226,126,unknown
Respondent's occupation,Managerial and professional occupations,4.9349226890815,3026,unknown
Respondent's occupation,Intermediate occupations,6.713283436192295,1807,unknown
Respondent's occupation,Routine and manual occupations,9.797508222224305,2284,unknown
Respondent's occupation,Never worked and long-term unemployed,16.829090172169213,372,unknown
Respondent's occupation,Full-time students,10.47228358170425,256,unknown
Respondent's occupation,Not classified,9.41692409815316,146,unknown
Highest qualification,Degree or diploma,5.889352631062071,3519,unknown
Highest qualification,Apprenticeship or A/AS level,7.498975235302098,1242,unknown
Highest qualification,O level/GCSE,8.484961864587461,1305,unknown
Highest qualification,Other,9.128500749464694,360,unknown
Highest qualification,,11.545293541500957,1420,unknown
Disability [note 3],Disabled,10.070971725077088,1664,unknown
Disability [note 3],Not disabled,7.146393200339062,6189,unknown
Religion,No religion,7.9747446099556845,3142,unknown
Religion,Christian,6.372094980038416,4085,unknown
Religion,Buddhist,[u],29,unknown
Religion,Hindu,10.940552255600867,157,unknown
Religion,Jewish,[u],25,unknown
Religion,Muslim,12.155706972705092,314,unknown
Religion,Sikh,[u],48,unknown
Religion,Other,7.6555913908908675,50,unknown
Sexual orientation [note 4],Heterosexual/straight,7.2430394791095605,6580,unknown
Sexual orientation [note 4],Gay/Lesbian,9.27661738342145,119,unknown
Sexual orientation [note 4],Bisexual,8.88231165171858,134,unknown
Sexual orientation [note 4],Other,[u],32,unknown
Gender identity [note 5],Gender the same as the sex registered at birth,7.6595214498011375,6477,unknown
Gender identity [note 5],Gender not the same as the sex registered at birth,[u],32,unknown
Experience of crime in last 12 months (including fraud and computer misuse),Victim,13.257856770575623,1106,unknown
Experience of crime in last 12 months (including fraud and computer misuse),Not a victim,6.675700656518162,6785,unknown
Number of hours away from home on weekday,Less than 3 hours,6.845900918688718,3490,unknown
Number of hours away from home on weekday,3 hours or more but less than 7 hours,7.608480056149664,2112,unknown
Number of hours away from home on weekday,7 hours or longer,8.936137920666612,2254,unknown
Number of evening visits to a pub/bar in the last month,,8.470056322383241,4488,unknown
Number of evening visits to a pub/bar in the last month,Less than once a week,6.5294698216412606,2320,unknown
Number of evening visits to a pub/bar in the last month,Once a week or more often,7.282007891191548,1074,unknown
Number of visits to a nightclub in the last month [note 6],,6.38830634216951,3091,unknown
Number of visits to a nightclub in the last month [note 6],1-3 times,8.168970371424509,263,unknown
Number of visits to a nightclub in the last month [note 6],4+ times,[u],40,unknown
