"table s5:  perceptions of the local police by personal characteristics, year ending march 2019 csew1",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,age_band
England and Wales,,,,,,,,Adults aged 16 and over,unknown
,Police can be relied on when needed,Police would treat you with respect,Police would treat you fairly,Police understand local concerns,Police deal with local concerns,Police in this area can be trusted,Overall confidence in local police,Unweighted base - number of adults2,unknown
,Percentage saying they 'strongly agree' or 'tend to agree',,,,,,,,unknown
25-34,68.50517243039701,88.33700641141117,69.890299773574,70.05199791200451,60.12542721971678,81.12529015472093,78.39711367144037,2818,unknown
35-44,62.741670395789775,88.9418815410382,68.24452297221194,69.99002159827945,56.56292467352838,79.75786263190923,76.24617886498164,3098,unknown
45-54,56.29555357754236,87.76716669540157,64.63705680781054,67.39763386164753,53.19254944378654,77.02156856639358,73.35937571696213,3035,unknown
55-64,51.161000186323754,88.15927634944772,63.435145671434704,67.83450260019053,53.52670575417756,78.24870666888634,73.34281239307856,2851,unknown
65-74,50.93724465354295,89.63950818808937,64.32818518518509,69.78536004926124,55.58750036450352,80.9501625336312,75.55813132828659,2810,unknown
75+,60.88619680813897,93.65024987164158,70.76550750044088,72.3966944573089,64.88681078845995,86.11555965508173,82.41555164761238,2452,unknown
Ethnic group,,,,,,,,,unknown
White ,56.549574855632386,87.95619421302897,66.69261832873923,67.30866388280019,54.545065834822836,80.45858604439512,75.37266969951416,30046,unknown
English/Welsh/Scottish/Northern Irish/British,54.99499669136166,87.77002905387621,66.1647362084462,66.84570222674964,53.572556426725406,80.01242846676305,74.81196306039772,27718,unknown
Irish,60.02596523934481,89.1309449483733,68.30657206287252,71.68912917868482,60.382134328897195,82.72355954753068,81.59986760305829,303,unknown
Gypsy/Irish Traveller,-,-,-,-,-,-,-,10,unknown
Any other White background,73.29721460286986,89.90172863438478,72.61649517790967,72.30619156334977,64.67962247119671,85.18983843325721,80.97335823731812,2015,unknown
Mixed/Multiple,63.256571875934284,82.8215498004116,59.986651722888226,63.047493281641124,52.07957557152022,71.2644244164242,67.64913781210667,369,unknown
White and Black Caribbean,57.637179251708645,79.19967197922463,48.97339247580246,58.93494621478453,42.430827451625916,64.2600713738356,58.08095666353885,122,unknown
White and Black African,-,-,-,-,-,-,-,48,unknown
White and Asian,67.85257694197611,86.75536982194501,56.923994986430834,70.93966045671792,63.02833281059711,70.6342167443099,75.77343456123683,89,unknown
Any other Mixed/Multiple ethnic background,62.699897736029364,82.95715815899915,69.91562398739266,60.358476515390244,47.359440213391025,74.66912056196368,69.29761412513527,110,unknown
Asian/Asian British,69.12600166212542,87.82992977547083,74.35132355043383,69.57369979634251,63.91892752520213,81.032389702637,78.46870127784604,2046,unknown
Indian,69.58684365733144,88.77815535735289,76.15111997367828,69.7976811456224,64.02226281476489,81.9107530868062,79.18585102369151,776,unknown
Pakistani,63.13468418875819,84.99159888024583,70.0364464585133,64.7764136585273,57.57264572792599,75.89088905106026,72.68933118402788,505,unknown
Bangladeshi,69.83224524926072,86.88873273591217,73.30359379330922,69.89632421136696,66.88986544152802,81.09197672318373,77.05884993515924,211,unknown
Chinese,65.42775565034464,88.04235336360105,78.41743811480885,74.16239170284604,63.18184941000274,88.38041629902057,86.98001256948109,177,unknown
Any other Asian background,78.87962050875407,91.09322822126269,76.54926094044967,74.49451912362973,71.82364844613853,84.01170662834396,83.40521862210062,377,unknown
Black/African/Caribbean/Black British,65.80937401633497,82.18316607816918,60.25658309250241,64.34314555091518,58.61749329129692,69.02524881357537,69.65064579619589,913,unknown
African,70.29332427242082,88.31229850418569,66.97584593705436,70.03340587355603,65.33274396197831,78.05050541759898,76.08084928772698,576,unknown
Caribbean,54.441673443803204,68.45619630327792,43.57845491456433,54.90413553010338,43.340636683071416,49.95644970897766,56.0000414146678,277,unknown
Any other Black background,67.18349860668448,77.7044928468839,60.13712068756627,46.68839503989727,54.23773129227898,55.38052906317928,61.21955898789063,60,unknown
Other ethnic group,72.65405368682735,86.50681956201828,68.76997681587021,70.62541241208096,64.27658281696395,82.78695484738556,77.33892453030998,278,unknown
Arab,73.02220266176758,89.55811758464377,76.77878782114695,74.76788746949141,68.97037526244088,87.35234924802575,79.8404014383456,94,unknown
Any other ethnic group,72.44436387271158,84.72158537544115,63.87209842270566,68.13025597682014,61.461315818390275,80.03471778768474,75.85402229157438,184,unknown
Marital status,,,,,,,,,unknown
Married/civil partnered,55.720855796660175,88.87902897907098,68.96125615730004,68.35152439343122,55.382630451364875,81.2686774896199,75.96043175018065,15343,unknown
Cohabiting,58.00343637971531,85.83287961228989,65.19942078023662,64.30188269514714,51.77528770235412,77.9907652931051,74.09338033905765,3602,unknown
Single,64.25072757968121,85.94185315417054,64.92478169169614,65.99062156171728,56.66034126800231,78.69188289423327,74.64434712951329,7529,unknown
Separated,57.82860284017527,85.5854355523541,64.39439944057399,67.73008078243348,54.43930290542161,76.61363633819029,73.1722319999804,963,unknown
Divorced/legally dissolved partnership,51.758002042736905,86.63668245207046,62.3446529658713,66.83427671066514,53.66531985335433,76.59268606316985,72.2114682015446,2891,unknown
Widowed,58.62306430876196,90.5287450151712,68.85954837398738,72.0249095861426,62.05988354097025,83.70204003043902,79.20821130949905,3306,unknown
Respondent's employment status,,,,,,,,,unknown
In employment,58.84765542776799,87.53071136452246,66.85095034564728,66.95357132315212,54.26098584270237,80.03686971729704,75.30303098873581,19558,unknown
Unemployed,62.703686433264494,84.4577735915617,65.82527093739056,66.46843302719722,58.35312226312097,73.9991633083732,72.17556497701538,629,unknown
Economically inactive,56.50003744430636,88.14041718766555,67.40066221714626,68.13648173256982,57.536529147111295,80.38591586640138,75.59194181717855,13500,unknown
Student,72.11615353343183,89.74000840173053,70.3321438134294,68.09986018765353,63.512517447685845,84.9947114951696,81.47612041063962,617,unknown
Looking after family/home,64.87665458923153,87.88608580661959,72.66076915467657,72.05877202114182,62.370961766276764,80.3750166388768,76.32175854913356,1414,unknown
Long-term/temporarily sick/ill,53.886669470554025,80.35022470905002,62.76387531597562,61.657903831787465,49.668938705930756,70.18432381980108,63.93389807619555,1461,unknown
Retired,52.017599438231024,89.40987584926307,66.95314671884044,68.84904460846568,56.831450726053525,81.51518754672622,76.38102292297918,9653,unknown
Other inactive,64.68242503945045,83.26737367768803,60.67848247287928,60.46015585441673,56.67963688941119,74.51953715100072,73.45974214266514,355,unknown
Respondent's occupation (NS-SEC),,,,,,,,,unknown
Managerial and professional occupations,56.94096851251453,88.88208395797365,65.14954221721196,66.5569018220423,52.90190499396709,81.45489250064958,77.49429850917436,12357,unknown
Intermediate occupations,55.13210442865552,87.15369101911517,66.42876111235302,67.19333643204169,54.06028574762248,78.55599619690544,73.23510893012298,7753,unknown
Routine and manual occupations,58.04558473957293,86.97328090019735,68.83528949857235,68.08079645440026,57.276412756103724,78.72026535372154,73.20888867014445,11288,unknown
Never worked and long-term unemployed,67.90448940858576,84.8365865130592,70.20964458377937,70.56990625968602,64.73172431874174,78.66922050383948,76.02539104977147,1038,unknown
Full-time students,71.71046639644575,88.36442685722427,69.15861774157491,67.88580385556958,61.72910074442049,84.70935106302913,81.30397612862443,935,unknown
Not classified,57.24041869838372,81.09478351305619,64.36489973090008,59.65592230818424,53.92469329802242,78.10698609607778,74.28032148868444,333,unknown
 Source: Office for National Statistics - Crime Survey for England and Wales,,,,,,,,,unknown
1. See Section 7.3 of the User Guide for definitions of personal characteristics.,,,,,,,,,unknown
2. Unweighted base refers to overall confidence in the local police. Other bases will be similar.,,,,,,,,,unknown
"""-"" indicates that data are not reported because the unweighted base is fewer than 50.",,,,,,,,,unknown
"Table S5: Perceptions of the local police by personal characteristics, year ending March 2019 CSEW1 (continued)",,,,,,,,,unknown
Highest qualification,,,,,,,,,unknown
Degree or diploma,58.76255837280389,88.83503122410966,65.7870785796737,67.69581269576449,54.62941910878239,81.73698277915449,77.60791655870771,13967,unknown
Apprenticeship or A/AS level,57.33679915618561,86.95205754865394,67.47599011918449,66.3894062773552,53.594636314549945,79.84340944075645,74.17593119051247,5870,unknown
O level/GCSE,55.92512971033804,85.8693817353741,66.5341945367324,65.80092442446347,54.52888487226685,77.23489952216158,72.5628053629443,5940,unknown
Other,62.147560283313766,88.15099655532354,70.9451152546843,70.44531520217826,61.179458904495554,80.1874769322485,75.62277253681464,1594,unknown
,58.7458695637892,87.5111551416874,69.30231077341399,68.77548192173151,59.70209346680247,79.09268687077396,73.97056518927823,6206,unknown
Disability3,,,,,,,,,unknown
Disabled,52.779611616021526,85.5003787200557,64.34236830599667,64.50608597926477,52.893320507163736,75.92631586146908,69.79733425402348,6678,unknown
Not disabled,59.20762677052558,88.12728071447441,67.57130514502111,67.94746611974732,56.03223288555492,80.8428441430541,76.4615890542418,26928,unknown
Religion,,,,,,,,,unknown
No religion,56.55403370129082,85.7103976491901,63.451959890737264,64.42596996527682,51.683485193498925,77.99070133593607,73.37841998343663,12256,unknown
Christian,57.5920191875842,89.13183571540623,68.65050287718365,69.26837566624053,57.10143892891642,81.52449876856289,76.6524053129565,18983,unknown
Buddhist,64.84260668522754,86.16402791158546,72.64462975417898,73.56202655220149,63.48494556279457,80.24165217545571,75.14465113572662,157,unknown
Hindu,73.23294139534477,88.52290942304138,78.68743908058171,70.17168798208334,67.1085877143906,85.07327207610274,81.67206022665964,447,unknown
Muslim,69.71828848687703,87.85330885487363,73.29501217643543,69.1309794795398,64.0770241570697,79.79938124489985,76.41402286706655,1241,unknown
Other,57.584365251158474,86.65317387518489,65.95995763409117,64.47111778528571,52.06688244648976,75.57572029740386,69.6365568112721,538,unknown
Sexual orientation4,,,,,,,,,unknown
Heterosexual or straight,57.97165348908404,87.66497556217679,66.79520291395387,67.3286746776175,54.77421425953901,79.88282487291265,75.09055508544435,26132,unknown
Gay or lesbian,60.30768007921596,88.80223949292878,65.73012619490743,61.75449877641036,54.245017530605885,81.51565516190217,77.27461563252555,421,unknown
Bisexual,59.597414317114705,84.3677428022097,62.72256021455181,58.255366947030716,50.91642551778137,79.81850741332667,73.95234126697629,358,unknown
Other,71.47014139606287,82.42816879681844,71.34699186152011,68.87971582335523,66.40265288755644,78.10145685385528,75.57794970334734,173,unknown
Don't know,-,-,-,-,-,-,-,17,unknown
Don't wish to answer,57.149851244982855,80.92122863875437,64.37941214598256,62.43382331127505,51.70665895186893,70.87058430317762,68.20200589098164,896,unknown
Number of hours away from home on weekday,,,,,,,,,unknown
Less than 3 hours,56.852248817443716,88.31408810623675,67.65989721423435,68.733246798585,57.24804872728143,80.1100185809122,75.59615489521812,10164,unknown
3 hours or more but less than 7 hours,56.564236910301915,87.95498926360435,66.44841314689589,67.79373524033598,55.442307932176995,80.07042901004539,75.02195941762254,8833,unknown
7 hours or longer,59.696942506294306,87.1799004133119,67.03992610988068,66.47138967503513,54.65003732065243,79.96077046243266,75.39347709720977,14544,unknown
Visits to pub/wine bar in the evening last month,,,,,,,,,unknown
,59.68407729697831,87.76701641694457,68.15742131071516,68.1615767633325,58.00804808801262,79.54496984807925,75.07396383668498,17973,unknown
Less than once a week,57.642575493916496,88.61594215104247,67.25912683648222,67.46143993850565,54.92024973799929,81.10995452221253,76.49058082129376,10046,unknown
Once a week or more often,54.51148561328414,85.7391293547483,63.44241689449432,64.7788935920198,49.40586378600585,79.4766074321719,74.06097301885049,5652,unknown
Visits to nightclub/disco last month,,,,,,,,,unknown
,57.63559156229668,87.79204220155931,67.3563916511544,67.43303831837625,55.593274664568945,80.03014879170955,75.2898917262748,32009,unknown
1-3 times,64.88894194125405,86.63843106603815,62.75071796630714,67.05051626964915,53.85739359907809,80.15078566619478,75.86644157828313,1469,unknown
4+ times,60.968254071443006,81.47697132055504,62.85151839418558,60.76418592784515,53.44124514631442,76.77250748743256,73.82605774664266,213,unknown
Overall level of perceived ASB5,,,,,,,,,unknown
High,43.947806233831045,78.99609602091559,54.34692859195407,53.3611207370497,37.081126440938675,64.30248089128318,52.40730801516884,573,unknown
Not high,62.47356069966216,88.8462071340552,68.36124501032091,68.98717597698395,58.5580016040342,81.98093701463395,78.35636625922685,7809,unknown
Experience of crime in last 12 months (including fraud and computer misuse),,,,,,,,,unknown
Victim,52.82374016439056,85.13799481756618,61.904290877200744,64.09083270497918,48.34886376544766,75.41737150942924,67.24444575579224,6767,unknown
Not a victim,59.54007077765776,88.326841732616,68.38991064134522,68.20859243689108,57.39960162771796,81.23199168944356,77.48159141713799,26937,unknown
"3. The definition of disability used is consistent with the core definition of disability under the Equality Act 2010. A person is considered to have a disability if they have a long-standing illness, disability or impairment which causes difficulty with day-to-day activities.",,,,,,,,,unknown
"4. The terminology used to label this data has been changed to 'sexual orientation' from 'sexual identity' to align with terminology used in legislation (Equality Act 2010). Sexual Orientation is an umbrella concept which encompasses sexual identity, attraction and behaviour. This question described within this principle is based on a substantial body of research and is designed to capture self-perceived Sexual Identity. An individual could respond differently to questions on either sexual identity, attraction or behaviour. The measurement of Sexual Identity was identified within the research as the component of Sexual Orientation most closely related to experiences of disadvantage and discrimination. The question was not designed for specific or detailed studies of sexual behaviour or attraction where a series of more detailed questions and answer categories might be more appropriate.",,,,,,,,,unknown
5. The relevant questions relating to overall level of perceived anti-social behaviour are only asked of one quarter of the CSEW sample.,,,,,,,,,unknown
