"table a4: proportion of victims aged 16 and over who were victimised more than once, statistical significance of change year ending march 2025 compared with selected years",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,unnamed: 9,unnamed: 10,unnamed: 11,unnamed: 12,unnamed: 13,unnamed: 14,unnamed: 15,unnamed: 16,unnamed: 17,unnamed: 18,unnamed: 19,unnamed: 20,unnamed: 21,unnamed: 22,unnamed: 23,unnamed: 24,unnamed: 25,unnamed: 26,unnamed: 27,unnamed: 28,unnamed: 29,age_band
Theft from the person,4.265486765021269,8.911877752275808,3.7462173218657218,10.35463020403244,7.975189381985115,7.79742464889979,7.398860244860647,5.548767430500563,8.151270349254652,6.478254358920009,5.834098085172167,8.4459459176869,5.134286986277483,8.00240566271681,6.344373945711137,6.812730183876705,6.28581794794378,6.403602503,5.658161982,4.703848857,6.476739028,7.507989503,3.110016332,5.907126852,6.122946614972425,6.669854837369307,218,,,unknown
Other theft of personal property ,18.01910616261774,18.282375005009996,15.087984299589904,14.629243169806307,13.075326738037369,10.003506830614207,11.413078484882348,11.15175705232328,11.596054686025672,10.968688986435135,9.825874467002668,10.445358861235656,12.348687134313218,9.689448525398708,10.612990220913183,10.296119751112803,10.468565451649578,11.34419336,9.0183811,8.217342741,8.640053935,7.697308919,7.628622046,9.423633359,10.7110148208678,11.71917540197538,210,,,unknown
Domestic burglary,15.714472476828199,17.542910415498206,19.644751289289754,21.225206416464125,16.1736453260098,18.265133303570106,17.195342584847182,15.136358866933108,17.357016853939655,14.03942638474229,15.350574489461447,16.302106831869466,14.832167846905486,15.222281865697061,13.405858932285076,15.111812534249907,12.824801757909603,13.10461589,14.77619968,14.12108652,10.51266936,12.16705166,10.22226186,12.82667021,11.22112058116938,14.51548782636737,404,,,unknown
Domestic burglary in a dwelling,12.835788549630227,16.490008553421266,18.36222932472233,19.300315862665315,15.62573940790785,18.138688526310194,16.0226391829194,14.067675959742655,16.479192713624872,13.494078407854618,14.832974416022525,15.183721320938941,13.652492754042878,13.539244244769286,13.47968690066648,14.1079930346583,11.609815136649912,12.83040476,14.48784204,13.49597839,10.34064461,12.98366746,10.09814755,12.93351662,11.51745676051678,13.51372802558046,299,,,unknown
Domestic burglary in a non-connected building to a dwelling,19.56655083153798,12.00970657159056,14.03389402994543,17.270393607614867,13.797415290780327,13.969145701516268,13.612348022225584,13.741871668399458,14.751903644688516,11.739080298914017,13.314144308898213,15.968567020466546,15.07480200518736,14.373398747210869,9.411410931799654,14.09314780233855,13.036104776157444,11.67673722,11.98896209,12.59944233,8.228537394,8.162757148,8.356599866,11.10403729,7.390288178288055,14.89556103013299,112,,,unknown
Other household theft,27.73435917379737,26.556357347033327,24.375197828480257,25.94563636751387,19.547089261440867,19.610714881540485,19.68186883254377,21.28897060180304,21.583961157431684,18.778103282227274,18.432235249116715,20.02111823666819,18.869212256395166,18.223970147725513,17.82835960521453,17.22986266296878,12.170981695171191,15.29251625,14.46087021,12.8358641,14.72724085,13.41314571,16.40459029,17.39553371,20.35221188890893,18.8281942095576,613,,,unknown
Vehicle-related theft,21.376720299605935,25.212253322038507,28.27813629484198,23.76467214248892,21.112769736697892,19.38508666111458,19.2380355024759,19.065507641274806,17.797873678259812,16.009767986535437,16.77510908713896,16.97702965743805,14.179957182523362,14.628275786274397,15.60497199732842,14.618548485268976,12.254992495590097,14.44894102,12.31755107,11.51524467,11.52657788,11.78661883,11.94436086,8.479681591,11.12074958766448,10.09554434853868,691,[s],,unknown
Bicycle theft,6.080744325178063,14.167326849816444,13.850657111042587,14.393755863434116,10.12553400060973,10.285420043511639,11.287910091760565,11.77861115550381,12.0965673217549,10.666418944343476,11.526034396847933,12.245108230267808,9.961306086557423,12.943103002944579,10.294737609624498,8.242770259669811,10.56552631455224,10.9654842,8.950957074,7.23505096,5.794176485,7.483694162,7.888984921,6.107578079,7.758943444843889,9.04967042615044,208,,,unknown
CRIMINAL DAMAGE,33.04659643792368,30.933137723301154,30.507759364321647,33.21359251036871,31.815230491710807,30.08176521434675,28.66765652753819,30.172156592732048,29.983191430743613,31.94224180643256,29.68908784410351,28.231123836299293,28.609585721372525,27.1164343321649,24.883319304184404,25.314593432387433,23.770101335479954,26.66718554,19.92181762,21.54467954,18.38204605,18.76868221,18.2054275,19.21160718,16.97657964761777,11.95258457760448,652,[s],[s],unknown
Criminal damage to a vehicle,28.959188327604714,28.319014929976873,24.967475975854043,28.26477333413323,27.230971337199993,25.359685567803282,23.801708730014465,26.077404617869416,26.49531686505269,27.692595174881287,26.142241406086363,25.051744495853452,25.387552793018376,24.17058084015866,22.913311627404166,24.017439478934495,20.688627515217554,24.71945723,18.45329186,19.07200091,15.27054732,16.66879931,15.89448344,15.63128006,13.13588505034502,9.37548017682327,417,[s],,unknown
Arson and other criminal damage,31.517933164624967,26.3484577268364,30.98812496248147,33.368542486264424,32.918533108307976,31.46906965474319,31.79086974138871,28.454485557503126,29.297638942336256,30.487751903814797,29.747248415983673,26.545515102999595,27.674988435763304,27.43016734924801,23.711159154247596,23.94803781320096,24.262317089946652,26.46752987,19.60731094,23.4450492,20.0984044,20.01940795,19.25014242,20.3490759,21.53657506580933,14.79186397389333,245,[s],,unknown
FRAUD AND COMPUTER MISUSE [note 4],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],18.59773561,14.01497979,14.93278821,13.69770501,13.49633864,13.07170385908409,13.45492051708094,2609,[x],,unknown
Fraud [note 4][note 5],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],13.95780123,11.25387568,12.93580506,11.90791177,11.39928327,10.71078512029288,12.8618575399846,2264,[x],,unknown
Bank and credit account fraud,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],14.74548515,10.68835719,11.83872794,11.47923201,11.71043799,11.87812201406486,14.499651812556,1339,[x],,unknown
Consumer and retail fraud,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],5.04922995,6.439329188,5.802842722,5.962435228,5.054637755,6.164974608972901,5.730385782660888,628,[x],,unknown
All other fraud [note 6],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],12.36257121,10.19313554,7.854416979,9.092379595,8.195568565,3.387707265579461,7.54521234925669,344,[x],,unknown
Cyber [note 7],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],13.05924333,8.596044657,9.762926647,10.21067155,7.787886913,7.875603970090368,11.12569198552296,1283,[x],[s],unknown
Non-cyber [note 8],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],11.13441485,10.23452828,11.58044967,10.78190066,11.33330363,10.64267508958209,11.57951768171064,1017,[x],,unknown
Computer misuse [note 4],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],18.58406327,11.25579928,8.886503042,11.35179528,12.69493431,15.39593508161332,7.977451788492333,387,[x],[s],unknown
Computer virus,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],18.81655425,8.394859935,8.705366073,10.11140216,12.35559546,13.41972505172841,0.7280797282126275,69,[x],[s],unknown
Unauthorised access to personal information (including hacking),[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],8.746204941,13.68258781,7.614197859,9.886770383,11.82305021,14.42301159682848,8.922259864676775,322,[x],,unknown
