table of contents,unnamed: 1,unnamed: 2,age_band
Table S21,"Awareness of Police and Crime Commissioners, people aged 16 and over, year ending March 2015 to year ending March 2024",Link to Table S21,unknown
Table S22,"Awareness of Police and Crime Commissioners, people aged 16 and over, by personal characteristics, year ending March 2024",Link to Table S22,unknown
Table S23,"Awareness of Police and Crime Commissioners, people aged 16 and over, by household and area characteristics, year ending March 2024",Link to Table S23,unknown
Table S24,"Perceptions of changing crime levels, year ending December 1996 to year ending March 2024",Link to Table S24,unknown
Table S25,"Perceptions of changing crime levels, people aged 16 and over, by personal characteristics, year ending March 2024",Link to Table S25,unknown
Table S26,"Perceptions of changing crime levels, people aged 16 and over, by household and area characteristics, year ending March 2024",Link to Table S26,unknown
Table S27,"Percentage of people with high levels of worry about crime, people aged 16 and over, year ending December 1992 to year ending March 2024",Link to Table S27,unknown
Table S28,"Worry about crime by personal characteristics, people aged 16 and over, year ending March 2024",Link to Table S28,unknown
Table S29,"Worry about crime by household and area characteristics, people aged 16 and over, year ending March 2024",Link to Table S29,unknown
Table S30,"Trends in anti-social behaviour indicators, with percentage of respondents saying there is a very or fairly big problem in their area, year ending December 1992 to year ending March 2024",Link to Table S30,unknown
Table S31,"High levels of perceived anti-social behaviour in local area, people aged 16 and over, by personal characteristics, year ending March 2024",Link to Table S31,unknown
Table S32,"High levels of perceived anti-social behaviour in local area, people aged 16 and over, by household and area characteristics, year ending March 2024",Link to Table S32,unknown
Table S33,"Perceptions of changing anti-social behaviour (ASB) levels in the local area over the past couple of years, year ending March 2012 to year ending March 2024",Link to Table S33,unknown
Table S34,"Percentage of people aged 16 and over who have seen or heard about police actions to tackle crime and anti-social behaviour (ASB) in the last 12 months and the source of this information, year ending March 2017 to year ending March 2024",Link to Table S34,unknown
Table S35,"Trends in percentage of people aged 16 and over who felt very/fairly safe walking alone after dark, by sex, year ending December 1994 to year ending March 2024",Link to Table S35,unknown
Table S36,"Percentage of people aged 16 and over who felt very or fairly safe when walking alone after dark, by personal characteristics, year ending March 2024",Link to Table S36,unknown
Table S37,"Percentage of people aged 16 and over who felt very or fairly safe when walking alone after dark, by household and area characteristics, year ending March 2024",Link to Table S37,unknown
Table S38a,"Percentage of people aged 16 and over who were stopped and searched, in a vehicle, by the police in the last 12 months and the reason why, year ending March 2024",Link to Table S38a,unknown
Table S38b,"Percentage of people aged 16 and over who were stopped and searched, on foot, by the police in the last 12 months and the reason why, year ending March 2024",Link to Table S38b,unknown
Table S39,"Percentage of people aged 16 and over who were stopped, in a vehicle or on foot, by the police in the last 12 months, by personal characteristics and region, year ending March 2024",Link to Table S39,unknown
Table S40,"Treatment by the police when stopped in a vehicle or on foot in the last year, people aged 16 and over, year ending March 2024",Link to Table S40,unknown
Table S41,"Prevalence of domestic abuse, sexual assault and stalking among people aged 16 and over, by type, year ending March 2024",Link to Table S41,unknown
Table S42,"Prevalence of domestic abuse, sexual assault and stalking in the last year among people aged 16 and over, by type and sex, year ending March 2022 to year ending March 2024",Link to Table S42,unknown
Table S43a,"Prevalence of domestic abuse, sexual assault and stalking in the last year among men aged 16 to 59, by type, year ending March 2005 to year ending March 2024",Link to Table S43a,unknown
Table S43b,"Prevalence of domestic abuse, sexual assault and stalking in the last year among women aged 16 to 59, by type, year ending March 2005 to year ending March 2024",Link to Table S43b,unknown
Table S43c,"Prevalence of domestic abuse, sexual assault and stalking in the last year among people aged 16 to 59, by type, year ending March 2005 to year ending March 2024",Link to Table S43c,unknown
Table S44,"Prevalence of harassment experienced in the last year among people aged 16 and over, by type, age and sex, year ending March 2024",Link to Table S44,unknown
