"table s41:  prevalence of intimate violence in the last year, by category, year ending march 2005 to year ending march 2016 csew1",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,unnamed: 9,unnamed: 10,unnamed: 11,unnamed: 12,unnamed: 13,unnamed: 14,age_band
Threats5,1.2003547180150198,1.3047837979776813,1.2269793251579422,0.776330645370616,0.9507187235201352,0.9731379335165773,0.9747016298723017,0.9467434131314937,0.9556957616393813,0.7882915793989038,0.7552520297522104,0.7924610550805044,,,unknown
Force5,1.047042778471788,1.1039684483855368,1.0952113747964174,0.7486124434837558,0.9909721704738701,0.6509453766214214,0.8790031869363444,0.7128634407498179,0.7903806932803685,0.6327246894733953,0.5675946201250437,0.4415089143979704,*,,unknown
Any sexual assault (including attempts)4,2.6050799941591,2.977146032817532,2.9029316670167846,2.564376169051692,2.155759741841332,2.0818715682243445,2.3234354469975713,2.408723543752493,1.9138697969641625,1.4746422648221806,1.7090108873577323,1.961200960790143,,,unknown
Serious sexual assault including attempts4,0.5807690786841865,0.6947167972427217,0.5796652578237933,0.6768291231869491,0.5136816027453395,0.43644305063133604,0.6823323944697013,0.6178146206628041,0.5732873735485514,0.37809534271516415,0.3867421472956802,0.43204658201059554,,,unknown
Serious sexual assault excluding attempts4,0.38200109399700183,0.506882305481921,0.4008879230508624,0.4245596907787492,0.3411265614154246,0.3197418680355412,0.5290575860226296,0.3517578872470043,0.3218272942779446,0.22283912028182648,0.22808285986910865,0.2649668330728844,,,unknown
- Rape including attempts4,0.4522542207277492,0.6199214512060127,0.5153829014745169,0.555393713169207,0.41908082142120096,0.44101640069775355,0.6323565378806828,0.46603023770551116,0.43338527241471436,0.2702982004996919,0.27948962379704745,0.2879526308115423,,,unknown
- Rape excluding attempts4,0.3020567272549657,0.4214052363102634,0.35691583306126734,0.3136973851300726,0.3174383427177026,0.29924287763303214,0.4890457573284891,0.3044003837631605,0.2537831796273153,0.16421981606119082,0.1748973512548219,0.18995999882389175,,,unknown
- Assault by penetration including attempts4,0.25174963256344307,0.25177073445508086,0.200127989575343,0.25547250208846795,0.21975195673374032,0.12483193332932,0.1729111517953692,0.30988740633855366,0.31928602287608554,0.25927093101345783,0.21071111273180018,0.30859977760287244,,,unknown
- Assault by penetration excluding attempts4,0.22972657029284363,0.30138542362495363,0.2151545371477386,0.2595209170383556,0.1682876607717565,0.16170456600180005,0.17620478232098752,0.2466395339145735,0.2025914869141562,0.15506690501226403,0.11118864624732794,0.14601659633557346,,,unknown
Less serious sexual assault4,2.3037422586292795,2.518203361812256,2.615723951008618,2.220040955473805,1.8878698909690261,1.8663253703843976,1.9124697866567124,2.1201791277459545,1.568753275268881,1.2473063626980463,1.5052141786840456,1.7153733857298579,*,,unknown
Any sexual assault (including attempts) by a partner,0.34753826218098327,0.34218229940295986,0.35159166478371745,0.3431446574578492,0.255868324864855,0.27618658658581247,0.3543231241376186,0.31177645233623535,0.27798275024464264,0.22401173621063428,0.26514381430478745,0.3098252967961209,,,unknown
Serious sexual assault (including attempts) by a partner,0.18782026051807924,0.1579877342461733,0.19086515122639425,0.17369260308289225,0.151614537192572,0.11941261198575363,0.23948649914943457,0.21883129928507658,0.18488126195264293,0.12377499675817391,0.13924486071283004,0.17342441496410008,,,unknown
Less serious sexual assault by a partner,0.34387585295948786,0.3309974679126455,0.3465802381637204,0.3201902728552583,0.22047989464183138,0.3190584814468588,0.3047823828494001,0.2128713881147914,0.1818524782663706,0.1486918763743441,0.1907556345200028,0.22500037002313628,,,unknown
Any sexual assault (including attempts) by a family member,0.042619372589628876,0.04196246716544422,0.03658579134549741,0.04322985427111567,0.0236827052300061,0.03023428421354429,0.07029926892186202,0.025784254174888024,0.04667337152295457,0.05633986472473189,0.03313703189468377,0.02096121501818548,,,unknown
Serious sexual assault (including attempts) by a family member,0.013724243023113925,0.011773310994136536,0.0158284973726502,0.006896336413236175,0.004077926650123373,0.012835262539271263,0.052101827028028215,0.01575186188831099,0.026327866757130544,0.02049262532136712,0.013468735149332159,0.009449060167526648,,,unknown
Less serious sexual assault by a family member,0.029541812581681367,0.03530857265186668,0.033452590640783084,0.0427908794058877,0.02347906746285762,0.01712595983037272,0.043186016461553185,0.009720481540505997,0.020165158344661798,0.03701111385649462,0.01958045323603451,0.01143124393827661,,,unknown
Stalking4,7.8422218598081015,6.811948922781502,6.079305344776549,:,4.094684885032356,4.187483364220474,4.1879766471303235,4.304872595495941,3.6346748763479875,3.464882658093124,3.672471474309565,3.6805861940886655,*,,unknown
Stalking by a partner,1.0619505666612952,1.1778249882981076,1.0757362464079907,:,0.8240498138139606,0.894023541217133,1.171360180023772,0.9220365015781422,0.7950955791752213,1.0246893766871012,0.9893950120971453,0.8753143464829679,*,,unknown
Stalking by a family member,0.37132678497169996,0.5176578544237724,0.4836366011685417,:,0.3118378427963947,0.39274708155150634,0.4353591535852531,0.5675364039051626,0.43952412357435494,0.33945908402665675,0.3831488901919291,0.36574965831933753,,,unknown
Unweighted base2,22628,24310,23762,24095,25676,21630,10898,10902,9468,20644,18887,19769,,,unknown
"Source: Crime Survey for England and Wales, Office for National Statistics",,,,,,,,,,,,,,,unknown
1. Chapter 5 of the User Guide provides definitions of the various types of intimate violence.,,,,,,,,,,,,,,,unknown
2. The bases given are for any domestic abuse except for year ending March 2008 which is for partner abuse (non-sexual); the bases for the other measures presented will be similar.,,,,,,,,,,,,,,,unknown
3. The sample size is lower from year ending March 2011 to year ending March 2013 due to use of a split-sample experiment. The accompanying methodological note provides further information.,,,,,,,,,,,,,,,unknown
4. Estimates are calculated from the new questions from year ending March 2013 onwards. Previous estimates are calculated from the original questions and an adjustment applied to make them comparable to the new questions.,,,,,,,,,,,,,,,unknown
5. Estimates are calculated from the new questions for year ending March 2011 onwards. Previous year's estimates are calculated from the original questions and an adjustment applied to make them comparable to the new questions.,,,,,,,,,,,,,,,unknown
:   Denotes 'not applicable'.,,,,,,,,,,,,,,,unknown
