"table a5: proportion of incidents experienced by repeat victims aged 16 and over, statistical significance of change year ending march 2025 compared to selected years",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,unnamed: 9,unnamed: 10,unnamed: 11,unnamed: 12,unnamed: 13,unnamed: 14,unnamed: 15,unnamed: 16,unnamed: 17,unnamed: 18,unnamed: 19,unnamed: 20,unnamed: 21,unnamed: 22,unnamed: 23,unnamed: 24,unnamed: 25,unnamed: 26,unnamed: 27,unnamed: 28,unnamed: 29,age_band
Domestic violence,82.7376873744423,81.09227397768119,83.64901145718144,84.21178523228652,83.57846205993886,77.42087582497848,71.24688010040352,76.66259313749359,75.72302380394488,72.64468686126236,77.35840494481764,68.45204128253906,79.3281233841186,77.30185466969263,66.8784752180557,80.25249718931015,78.389092760737,71.04984905,64.76058168,72.547524,67.89839711,71.75895249,63.03625603,69.42596953,81.79672439060337,70.34821236501621,145,,[s],unknown
Acquaintance,57.669189078133286,64.32608551133089,72.66384314104323,65.5730403226956,58.035153523228814,59.47870275870681,58.409172864044045,62.815373255673634,62.73572713562257,54.51830301927495,58.936063305758154,52.751546755144105,63.26885014407293,53.3624476933658,61.29015185723865,64.89329390621396,58.89513003053154,68.57129977,59.42099082,63.97008037,63.02303834,61.36792972,60.070386,56.05645187,55.93982841597172,64.22290256934244,235,,[s],unknown
Stranger,48.38746868895874,55.47096354682115,51.61356591393457,41.13287731219286,44.94961706841505,50.779056198728036,39.43849547237171,42.86555317204859,49.13250127243863,46.50613841080086,35.52291005770059,39.992166068528725,36.88085587320848,41.54906020226071,43.755997239439424,43.38566471281144,46.757560271763516,52.14297076,39.35148898,47.68664258,37.2639616,39.61284281,35.86773033,41.28360026,33.32499528566754,38.14234360640472,279,[s],[s],unknown
ROBBERY,45.64157017825,24.737274723593252,29.254494947380273,21.980604207870215,48.5940858009372,21.174361840586304,21.26568393471419,18.9030266063054,32.98173982643951,38.22029283472933,40.55956186925791,22.77968550077931,34.74103592552613,29.07036513793691,22.895446132319407,26.008201609707683,23.870560511774848,6.875763352,26.48011844,25.56425777,28.94113263,19.01406858,10.49228324,[u],33.02210202913292,[u],49,[u],[u],unknown
THEFT OFFENCES [note 11],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],unknown
Theft from the person,13.303414047645049,18.70723032974406,7.67219557595281,19.66124163307722,16.93707435320438,17.50966287221124,14.862120126985179,13.752281993495085,16.68870826407541,15.38889531191751,12.175233670120553,18.518169843802223,11.252862399965759,16.568505132364,12.796402939800236,13.741341738115477,14.014984597889615,14.95517665,12.17888487,10.29707763,13.27267535,15.93144666,6.032423314,11.15529621,13.89523979860328,17.90762083544567,232,[s],[s],unknown
Other theft of personal property ,34.556132590099885,37.67849851307854,31.6083901676877,30.008083741763404,27.37319288888714,22.252634034964185,25.134020106509,25.2072628339486,23.48351882080366,23.28446408656834,21.555636939389807,22.41243373755505,24.82603426742761,21.4729663634849,23.800180931382712,20.98552753025991,21.033220665572237,23.72186245,19.14940663,17.49026603,18.8709479,16.13601329,14.93587204,22.34311842,26.30306385832724,23.193605759024,245,,[s],unknown
Domestic burglary,32.630882297500754,36.31917840444628,39.17370418656354,41.731788041460085,35.48630239894035,36.83938630558707,37.086149621555336,31.880458219160207,36.99027399040236,30.070232209885095,34.28346153073319,34.2761543879053,32.31595159097247,33.22317747105879,29.687991342534755,33.733061397098105,29.72704973180575,29.1129078,32.63418102,31.73072583,25.880545,27.41394358,24.29907196,29.0677918,27.46119421460246,33.7775280341906,528,[s],[s],unknown
Domestic burglary in a dwelling,27.30475629308302,35.345534134574336,37.863532489443855,39.430368800918174,33.9028884193914,36.67811556805851,35.91773027731981,30.380341753219888,35.94067346052528,29.457926602104894,34.41787167674556,32.80158300927284,31.083009938218094,30.5192169075564,30.275079623870727,33.12119228350826,28.24791367889447,29.39945007,33.44300808,31.7245714,27.02490485,28.36235665,24.03111209,29.40113155,29.81768730823612,31.8786361385044,385,,,unknown
Domestic burglary in a non-connected building to a dwelling,40.12176564254677,22.94078500985543,27.471673620573895,32.42568407627019,32.479555947933726,28.64729142399058,29.174164821272036,28.0527695527105,31.32223214549068,25.599492195486146,27.633390487464197,31.198754395816067,30.052294400974816,30.878404552870624,20.05828282892994,28.096747899423203,26.863086550561572,24.77101869,24.99203803,26.23026922,17.19974036,19.40028423,19.77060415,25.67693375,15.27866246271605,33.88093567792451,143,[s],[s],unknown
Other household theft,54.17522594935219,51.925644436718265,48.62856924839007,47.867058581920936,41.90620939000242,39.532785447280524,40.2093506724755,41.8858485909267,41.81677904096848,38.2321397617788,37.834219906236946,40.60847026739607,37.912315159287054,36.30280893091136,36.74605173309588,36.648952051337204,27.77804548216985,32.39651905,29.87165084,27.37497702,33.18095175,29.47824797,34.34634203,37.45752709,42.57764934272936,39.46355080796465,843,[s],,unknown
Vehicle-related theft,39.68520992821778,46.802400128544654,49.188033964123726,43.756120498696475,40.994247488865476,37.99470835575428,36.94391068277508,37.64788049179339,35.96392978430512,32.30847773517802,33.60572208265999,33.5214675292937,28.46936133558656,29.6237145406405,30.198544229550457,29.79029578224009,26.41010752813278,28.93499689,25.46700329,23.55442344,25.33175009,24.02283121,25.31788135,19.65292026,23.49159373860451,19.81048350355574,785,[s],,unknown
Bicycle theft,11.464369643821984,27.338525071691823,26.40370015446305,24.837437975680373,20.2701408241443,21.193107649858508,22.490233787891352,24.0000496328205,25.085078814344293,21.76372977214143,23.29270362214541,25.026702823829336,21.835877029500782,26.523897946035017,19.82142892689031,17.050284058006763,20.41337436272044,22.87048901,17.354080539999998,15.24159601,11.73641012,16.28571344,16.90448264,14.65816048,15.27597371512379,17.08959115421576,227,[s],[s],unknown
CRIMINAL DAMAGE,59.45368925602703,55.71855374984881,56.815550608836375,62.01490949162711,58.683658671288555,57.225286539664445,54.884400652407614,56.365982190930744,55.713178135976584,58.831100039968476,56.08195025086541,53.815269226802066,53.950133912489186,52.29682249388049,49.71562542512274,49.40166242651184,47.22056736272439,50.05940104,39.9600717,43.15579369,39.83970522,39.6801433,38.31559751,38.74435697,36.54148129765078,27.81522148683179,817,[s],[s],unknown
Criminal damage to a vehicle,53.09866671574029,51.0552280725898,46.579051731173955,52.88092356042783,50.203315986048594,48.67872541610993,46.60985468870217,49.12911549357131,48.76737630619093,51.60938855552505,49.837554325519285,47.631229754688874,47.785789446012146,46.24577367318857,44.0500380198567,45.94201475868089,41.863371846743966,45.61554162,36.2566266,38.54734085,32.05475083,35.33094287,32.70806023,32.05388844,27.57520929295611,21.04406598030374,491,[s],[s],unknown
Arson and other criminal damage,58.758156871039326,50.69939471447684,59.91966303371974,65.19048619071218,62.26293419561998,61.133235962832046,60.05142777473711,56.57688876223636,57.63039827594001,59.42483652692311,57.23120992550157,53.75234134802928,55.064172096586354,55.43331726110817,52.10928931739821,48.88438930138222,48.996981578668354,52.02549195,41.82744141,46.83480508,46.53857457,41.74152698,43.20442501,41.62523631,46.60293228046334,34.92244133428757,326,[s],[s],unknown
FRAUD AND COMPUTER MISUSE [note 4],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],37.16634966,28.28391403,30.39226292,28.35381989,28.56594516,27.61645760692842,28.74600963394619,3182,[x],,unknown
Fraud [note 4][note 5],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],29.3046552,22.8132395,27.39882604,24.97144145,24.82398508,22.80296572762279,27.84899302227534,2736,[x],,unknown
Bank and credit account fraud,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],31.03657662,21.7189918,25.78827931,24.53999718,26.34088216,25.50442035542159,31.73962721620727,1669,[x],[s],unknown
Consumer and retail fraud,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],10.34041175,16.44057642,13.25865499,13.64344837,10.34812613,12.65126318244976,13.3874406520329,690,[x],,unknown
All other fraud [note 6],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],27.08259932,15.93178011,22.92277379,20.29266256,17.83346514,9.420009150454227,16.24876902848419,377,[x],[s],unknown
Cyber [note 7],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],29.57202121,19.38062769,21.7163802,22.01615727,18.30946997,17.14735626937166,26.17703397717857,1517,[x],[s],unknown
Non-cyber [note 8],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],22.61883014,20.01230446,25.56303291,23.10792484,24.12223367,23.06648796580145,24.55064093056954,1214,[x],,unknown
Computer misuse [note 4],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],37.80341946,26.33276064,20.18020604,24.81287386,27.02877513,32.50292306970156,18.44482226270009,446,[x],[s],unknown
Computer virus,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],39.01574982,21.36023418,20.77740332,24.69540686,23.26239526,24.31355488355848,1.445634087688662,70,[x],[s],unknown
Unauthorised access to personal information (including hacking),[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],21.64779545,28.88825949,17.33579196,20.56227192,25.97108892,31.62915727655422,20.47656169306843,376,[x],[s],unknown
